english_name,scientific_name
Marbled Honeyeater,Pycnopygius cinereus
Streak-headed Honeyeater,Pycnopygius stictocephalus
Black Honeyeater,Sugomel nigrum
White-streaked Friarbird,Melitograis gilolensis
Gilliard's Honeyeater,Vosea whitemanensis
Drab Myzomela,Myzomela blasii
White-chinned Myzomela,Myzomela albigula
Ruby-throated Myzomela,Myzomela eques
Ashy Myzomela,Myzomela cineracea
Moluccan Myzomela,Myzomela simplex
Red-tinged Myzomela,Myzomela rubrotincta
Biak Myzomela,Myzomela rubrobrunnea
Dusky Myzomela,Myzomela obscura
Red Myzomela,Myzomela cruentata
Reddish Myzomela,Myzomela erythrina
Papuan Black Myzomela,Myzomela nigrita
New Ireland Myzomela,Myzomela pulchella
Alor Myzomela,Myzomela prawiradilagae
Wetar Myzomela,Myzomela kuehni
Red-headed Myzomela,Myzomela erythrocephala
Sumba Myzomela,Myzomela dammermani
Rote Myzomela,Myzomela irianawidodoae
Mountain Myzomela,Myzomela adolphinae
Sulawesi Myzomela,Myzomela chloroptera
Bacan Myzomela,Myzomela batjanensis
Taliabu Myzomela,Myzomela wahe
Wakolo Myzomela,Myzomela wakoloensis
Banda Myzomela,Myzomela boiei
New Caledonian Myzomela,Myzomela caledonica
Scarlet Myzomela,Myzomela sanguinolenta
Micronesian Myzomela,Myzomela rubratra
Cardinal Myzomela,Myzomela cardinalis
Samoan Myzomela,Myzomela nigriventris
Rotuma Myzomela,Myzomela chermesina
Sclater's Myzomela,Myzomela sclateri
Bismarck Black Myzomela,Myzomela pammelaena
Red-capped Myzomela,Myzomela lafargei
Crimson-rumped Myzomela,Myzomela eichhorni
Red-vested Myzomela,Myzomela malaitae
Black-headed Myzomela,Myzomela melanocephala
Sooty Myzomela,Myzomela tristrami
Sulphur-breasted Myzomela,Myzomela jugularis
Black-bellied Myzomela,Myzomela erythromelas
Black-breasted Myzomela,Myzomela vulnerata
Red-collared Myzomela,Myzomela rosenbergii
Long-billed Myzomela,Myzomela longirostris
Yellow-billed Giant Honeyeater,Gymnomyza viridis
Duetting Giant Honeyeater,Gymnomyza brunneirostris
Mao,Gymnomyza samoensis
Crow Honeyeater,Gymnomyza aubryana
Striped Honeyeater,Plectorhyncha lanceolata
Painted Honeyeater,Grantiella picta
Tawny-breasted Honeyeater,Xanthotis flaviventer
Spotted Honeyeater,Xanthotis polygrammus
Macleay's Honeyeater,Xanthotis macleayanus
Little Friarbird,Philemon citreogularis
Meyer's Friarbird,Philemon meyeri
Timor Friarbird,Philemon inornatus
Grey Friarbird,Philemon kisserensis
Brass's Friarbird,Philemon brassi
Morotai Friarbird,Philemon fuscicapillus
Buru Friarbird,Philemon moluccensis
Tanimbar Friarbird,Philemon plumigenis
Seram Friarbird,Philemon subcorniculatus
New Ireland Friarbird,Philemon eichhorni
Helmeted Friarbird,Philemon buceroides
Manus Friarbird,Philemon albitorques
New Britain Friarbird,Philemon cockerelli
Silver-crowned Friarbird,Philemon argenticeps
Noisy Friarbird,Philemon corniculatus
New Caledonian Friarbird,Philemon diemenensis
Makira Honeyeater,Meliarchus sclateri
Guadalcanal Honeyeater,Guadalcanaria inexpectata
Kadavu Honeyeater,Meliphacator provocator
Kikau,Foulehaio procerior
Polynesian Wattled Honeyeater,Foulehaio carunculatus
Fiji Wattled Honeyeater,Foulehaio taviunensis
White-streaked Honeyeater,Trichodere cockerelli
Crescent Honeyeater,Phylidonyris pyrrhopterus
New Holland Honeyeater,Phylidonyris novaehollandiae
White-cheeked Honeyeater,Phylidonyris niger
Banded Honeyeater,Cissomela pectoralis
Scaly-crowned Honeyeater,Lichmera lombokia
Olive Honeyeater,Lichmera argentauris
Brown Honeyeater,Lichmera indistincta
Grey-eared Honeyeater,Lichmera incana
Scaly-breasted Honeyeater,Lichmera squamata
Silver-eared Honeyeater,Lichmera alboauricularis
Buru Honeyeater,Lichmera deningeri
Seram Honeyeater,Lichmera monticola
Flame-eared Honeyeater,Lichmera flavicans
Black-necklaced Honeyeater,Lichmera notabilis
Yellow-throated Honeyeater,Nesoptilotis flavicollis
White-eared Honeyeater,Nesoptilotis leucotis
Blue-faced Honeyeater,Entomyzon cyanotis
White-throated Honeyeater,Melithreptus albogularis
Gilbert's Honeyeater,Melithreptus chloropsis
White-naped Honeyeater,Melithreptus lunatus
Black-headed Honeyeater,Melithreptus affinis
Brown-headed Honeyeater,Melithreptus brevirostris
Black-chinned Honeyeater,Melithreptus gularis
Strong-billed Honeyeater,Melithreptus validirostris
White-gaped Honeyeater,Stomiopera unicolor
Yellow Honeyeater,Stomiopera flava
Puff-backed Honeyeater,Meliphaga aruensis
Yellow-spotted Honeyeater,Meliphaga notata
Lewin's Honeyeater,Meliphaga lewinii
Streak-breasted Honeyeater,Meliphaga reticulata
Kimberley Honeyeater,Meliphaga fordiana
White-lined Honeyeater,Meliphaga albilineata
Orange-cheeked Honeyeater,Meliphaga chrysogenys
Forest Honeyeater,Meliphaga montana
Mottle-breasted Honeyeater,Meliphaga mimikae
Yellow-gaped Honeyeater,Meliphaga flavirictus
Mountain Honeyeater,Meliphaga orientalis
Scrub Honeyeater,Meliphaga albonotata
Mimic Honeyeater,Meliphaga analoga
Tagula Honeyeater,Meliphaga vicina
Graceful Honeyeater,Meliphaga gracilis
Cryptic Honeyeater,Meliphaga imitatrix
Elegant Honeyeater,Meliphaga cinereifrons
White-fronted Honeyeater,Purnella albifrons
Purple-gaped Honeyeater,Lichenostomus cratitius
Yellow-tufted Honeyeater,Lichenostomus melanops
Varied Honeyeater,Gavicalis versicolor
Mangrove Honeyeater,Gavicalis fasciogularis
Singing Honeyeater,Gavicalis virescens
Yellow-plumed Honeyeater,Ptilotula ornata
White-plumed Honeyeater,Ptilotula penicillata
Yellow-tinted Honeyeater,Ptilotula flavescens
Fuscous Honeyeater,Ptilotula fusca
Grey-headed Honeyeater,Ptilotula keartlandi
Grey-fronted Honeyeater,Ptilotula plumula
Yellow-faced Honeyeater,Caligavis chrysops
Black-throated Honeyeater,Caligavis subfrenata
Obscure Honeyeater,Caligavis obscura
Spiny-cheeked Honeyeater,Acanthagenys rufogularis
Little Wattlebird,Anthochaera chrysoptera
Western Wattlebird,Anthochaera lunulata
Regent Honeyeater,Anthochaera phrygia
Red Wattlebird,Anthochaera carunculata
Yellow Wattlebird,Anthochaera paradoxa
Bridled Honeyeater,Bolemoreus frenatus
Eungella Honeyeater,Bolemoreus hindwoodi
Bell Miner,Manorina melanophrys
Noisy Miner,Manorina melanocephala
Yellow-throated Miner,Manorina flavigula
Black-eared Miner,Manorina melanotis
Ornate Melidectes,Melidectes torquatus
Cinnamon-browed Melidectes,Melidectes ochromelas
Vogelkop Melidectes,Melidectes leucostephes
Huon Melidectes,Melidectes foersteri
Belford's Melidectes,Melidectes belfordi
Yellow-browed Melidectes,Melidectes rufocrissalis
Papuan Logrunner,Orthonyx novaeguineae
Australian Logrunner,Orthonyx temminckii
Chowchilla,Orthonyx spaldingii
Papuan Babbler,Garritornis isidorei
Grey-crowned Babbler,Pomatostomus temporalis
White-browed Babbler,Pomatostomus superciliosus
Hall's Babbler,Pomatostomus halli
Chestnut-crowned Babbler,Pomatostomus ruficeps
Spotted Jewel-babbler,Ptilorrhoa leucosticta
Blue Jewel-babbler,Ptilorrhoa caerulescens
Brown-headed Jewel-babbler,Ptilorrhoa geislerorum
Chestnut-backed Jewel-babbler,Ptilorrhoa castanonota
Spotted Quail-thrush,Cinclosoma punctatum
Chestnut Quail-thrush,Cinclosoma castanotum
Copperback Quail-thrush,Cinclosoma clarum
Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax
Western Quail-thrush,Cinclosoma marginatum
Cinnamon Quail-thrush,Cinclosoma cinnamomeum
Nullarbor Quail-thrush,Cinclosoma alisteri
Painted Quail-thrush,Cinclosoma ajax
White-bellied Minivet,Pericrocotus erythropygius
Jerdon's Minivet,Pericrocotus albifrons
Fiery Minivet,Pericrocotus igneus
Small Minivet,Pericrocotus cinnamomeus
Grey-chinned Minivet,Pericrocotus solaris
Sunda Minivet,Pericrocotus miniatus
Short-billed Minivet,Pericrocotus brevirostris
Little Minivet,Pericrocotus lansbergei
Long-tailed Minivet,Pericrocotus ethologus
Scarlet Minivet,Pericrocotus flammeus
Ryukyu Minivet,Pericrocotus tegimae
Ashy Minivet,Pericrocotus divaricatus
Swinhoe's Minivet,Pericrocotus cantonensis
Rosy Minivet,Pericrocotus roseus
Comoro Cuckooshrike,Ceblepyris cucullatus
Madagascar Cuckooshrike,Ceblepyris cinereus
Grauer's Cuckooshrike,Ceblepyris graueri
Grey Cuckooshrike,Ceblepyris caesius
White-breasted Cuckooshrike,Ceblepyris pectoralis
Stout-billed Cuckooshrike,Coracina caeruleogrisea
Hooded Cuckooshrike,Coracina longicauda
Pied Cuckooshrike,Coracina bicolor
Cerulean Cuckooshrike,Coracina temminckii
Ground Cuckooshrike,Coracina maxima
Barred Cuckooshrike,Coracina lineata
Boyer's Cuckooshrike,Coracina boyeri
Black-faced Cuckooshrike,Coracina novaehollandiae
North Melanesian Cuckooshrike,Coracina welchmani
White-bellied Cuckooshrike,Coracina papuensis
Moluccan Cuckooshrike,Coracina atriceps
South Melanesian Cuckooshrike,Coracina caledonica
Indian Cuckooshrike,Coracina macei
Oriental Cuckooshrike,Coracina javensis
Malayan Cuckooshrike,Coracina larutensis
Bar-bellied Cuckooshrike,Coracina striata
Mindoro Cuckooshrike,Coracina mindorensis
Visayan Cuckooshrike,Coracina panayensis
Mindanao Cuckooshrike,Coracina kochii
Sulu Cuckooshrike,Coracina guillemardi
Andaman Cuckooshrike,Coracina dobsoni
Sunda Cuckooshrike,Coracina larvata
Wallacean Cuckooshrike,Coracina personata
Halmahera Cuckooshrike,Coracina parvula
Buru Cuckooshrike,Coracina fortis
White-rumped Cuckooshrike,Coracina leucopygia
Slaty Cuckooshrike,Coracina schistacea
Western Wattled Cuckooshrike,Lobotos lobatus
Eastern Wattled Cuckooshrike,Lobotos oriolinus
Black Cuckooshrike,Campephaga flava
Petit's Cuckooshrike,Campephaga petiti
Red-shouldered Cuckooshrike,Campephaga phoenicea
Purple-throated Cuckooshrike,Campephaga quiscalina
Golden Cuckooshrike,Campochaera sloetii
McGregor's Cuckooshrike,Malindangia mcgregori
Polynesian Triller,Lalage maculosa
Samoan Triller,Lalage sharpei
Long-tailed Triller,Lalage leucopyga
White-shouldered Triller,Lalage sueurii
White-winged Triller,Lalage tricolor
Black-browed Triller,Lalage atrovirens
Biak Triller,Lalage leucoptera
White-browed Triller,Lalage moesta
Varied Triller,Lalage leucomela
Mussau Triller,Lalage conjuncta
Black-and-white Triller,Lalage melanoleuca
White-rumped Triller,Lalage leucopygialis
Pied Triller,Lalage nigra
Rufous-bellied Triller,Lalage aurea
Reunion Cuckooshrike,Lalage newtoni
Mauritius Cuckooshrike,Lalage typica
Black-winged Cuckooshrike,Lalage melaschistos
Black-headed Cuckooshrike,Lalage melanoptera
Lesser Cuckooshrike,Lalage fimbriata
Indochinese Cuckooshrike,Lalage polioptera
Blue Cuckooshrike,Cyanograucalus azureus
Pygmy Cuckooshrike,Celebesica abbotti
New Caledonian Cuckooshrike,Edolisoma anale
Blackish Cuckooshrike,Edolisoma coerulescens
White-winged Cuckooshrike,Edolisoma ostentum
Black-bellied Cuckooshrike,Edolisoma montanum
Pale-shouldered Cicadabird,Edolisoma dohertyi
Kai Cicadabird,Edolisoma dispar
Timor Cicadabird,Edolisoma timoriense
Pale Cicadabird,Edolisoma ceramense
Pohnpei Cicadabird,Edolisoma insperatum
Black-bibbed Cicadabird,Edolisoma mindanense
Grey-headed Cuckooshrike,Edolisoma schisticeps
Black Cicadabird,Edolisoma melas
Solomons Cicadabird,Edolisoma holopolium
Malaita Cicadabird,Edolisoma tricolor
Makira Cicadabird,Edolisoma salomonis
Admiralty Cicadabird,Edolisoma admiralitatis
Sangihe Cicadabird,Edolisoma salvadorii
Palau Cicadabird,Edolisoma monacha
Yap Cicadabird,Edolisoma nesiotis
Central Melanesian Cicadabird,Edolisoma erythropygium
Sulawesi Cicadabird,Edolisoma morio
Geelvink Cicadabird,Edolisoma meyerii
Banggai Cicadabird,Edolisoma pelingi
Obi Cicadabird,Edolisoma obiense
Sula Cicadabird,Edolisoma sula
North Moluccan Cicadabird,Edolisoma grayi
Black-shouldered Cicadabird,Edolisoma incertum
Bismarck Cicadabird,Edolisoma remotum
Rossel Cicadabird,Edolisoma rostratum
South Moluccan Cicadabird,Edolisoma amboinense
Sahul Cicadabird,Edolisoma tenuirostre
Whitehead,Mohoua albicilla
Yellowhead,Mohoua ochrocephala
Pipipi,Mohoua novaeseelandiae
Black-breasted Boatbill,Machaerirhynchus nigripectus
Yellow-breasted Boatbill,Machaerirhynchus flaviventer
Ashy Woodswallow,Artamus fuscus
Fiji Woodswallow,Artamus mentalis
Ivory-backed Woodswallow,Artamus monachus
Great Woodswallow,Artamus maximus
White-breasted Woodswallow,Artamus leucorynchus
White-backed Woodswallow,Artamus insignis
Masked Woodswallow,Artamus personatus
White-browed Woodswallow,Artamus superciliosus
Black-faced Woodswallow,Artamus cinereus
Dusky Woodswallow,Artamus cyanopterus
Little Woodswallow,Artamus minor
Lowland Peltops,Peltops blainvillii
Mountain Peltops,Peltops montanus
Pied Currawong,Strepera graculina
Black Currawong,Strepera fuliginosa
Grey Currawong,Strepera versicolor
Black Butcherbird,Melloria quoyi
Australian Magpie,Gymnorhina tibicen
Black-backed Butcherbird,Cracticus mentalis
Grey Butcherbird,Cracticus torquatus
Silver-backed Butcherbird,Cracticus argenteus
Hooded Butcherbird,Cracticus cassicus
Tagula Butcherbird,Cracticus louisiadensis
Pied Butcherbird,Cracticus nigrogularis
Mottled Berryhunter,Rhagologus leucostigma
Bornean Bristlehead,Pityriasis gymnocephala
Common Iora,Aegithina tiphia
Marshall's Iora,Aegithina nigrolutea
Green Iora,Aegithina viridissima
Great Iora,Aegithina lafresnayei
Brubru,Nilaus afer
Marsh Tchagra,Bocagia minuta
Black-crowned Tchagra,Tchagra senegalus
Brown-crowned Tchagra,Tchagra australis
Three-streaked Tchagra,Tchagra jamesi
Southern Tchagra,Tchagra tchagra
Fiery-breasted Bushshrike,Malaconotus cruentus
Lagden's Bushshrike,Malaconotus lagdeni
Green-breasted Bushshrike,Malaconotus gladiator
Grey-headed Bushshrike,Malaconotus blanchoti
Monteiro's Bushshrike,Malaconotus monteiri
Uluguru Bushshrike,Malaconotus alius
Northern Puffback,Dryoscopus gambensis
Pringle's Puffback,Dryoscopus pringlii
Black-backed Puffback,Dryoscopus cubla
Red-eyed Puffback,Dryoscopus senegalensis
Pink-footed Puffback,Dryoscopus angolensis
Sabine's Puffback,Dryoscopus sabini
Rosy-patched Bushshrike,Rhodophoneus cruentus
Bokmakierie,Telophorus zeylonus
Gorgeous Bushshrike,Telophorus viridis
Doherty's Bushshrike,Telophorus dohertyi
Bocage's Bushshrike,Chlorophoneus bocagei
Orange-breasted Bushshrike,Chlorophoneus sulfureopectus
Olive Bushshrike,Chlorophoneus olivaceus
Many-colored Bushshrike,Chlorophoneus multicolor
Black-fronted Bushshrike,Chlorophoneus nigrifrons
Mount Kupe Bushshrike,Chlorophoneus kupeensis
Red-naped Bushshrike,Laniarius ruficeps
Black Boubou,Laniarius nigerrimus
L眉hder's Bushshrike,Laniarius luehderi
Braun's Bushshrike,Laniarius brauni
Gabela Bushshrike,Laniarius amboimensis
Turati's Boubou,Laniarius turatii
Ethiopian Boubou,Laniarius aethiopicus
Tropical Boubou,Laniarius major
East Coast Boubou,Laniarius sublacteus
Swamp Boubou,Laniarius bicolor
Southern Boubou,Laniarius ferrugineus
Yellow-crowned Gonolek,Laniarius barbarus
Black-headed Gonolek,Laniarius erythrogaster
Crimson-breasted Shrike,Laniarius atrococcineus
Papyrus Gonolek,Laniarius mufumbiri
Yellow-breasted Boubou,Laniarius atroflavus
Slate-colored Boubou,Laniarius funebris
Lowland Sooty Boubou,Laniarius leucorhynchus
Willard's Sooty Boubou,Laniarius willardi
Mountain Sooty Boubou,Laniarius poensis
Albertine Sooty Boubou,Laniarius holomelas
F眉lleborn's Boubou,Laniarius fuelleborni
White-tailed Shrike,Lanioturdus torquatus
Chestnut Wattle-eye,Dyaphorophyia castanea
West African Wattle-eye,Dyaphorophyia hormophora
White-spotted Wattle-eye,Dyaphorophyia tonsa
Brown-throated Wattle-eye,Platysteira cyanea
White-fronted Wattle-eye,Platysteira albifrons
Black-throated Wattle-eye,Platysteira peltata
Banded Wattle-eye,Platysteira laticincta
Red-cheeked Wattle-eye,Platysteira blissetti
Black-necked Wattle-eye,Platysteira chalybea
Jameson's Wattle-eye,Platysteira jamesoni
Yellow-bellied Wattle-eye,Platysteira concreta
Margaret's Batis,Batis margaritae
Short-tailed Batis,Batis mixta
Dark Batis,Batis crypta
Rwenzori Batis,Batis diops
Cape Batis,Batis capensis
Malawi Batis,Batis dimorpha
Woodwards' Batis,Batis fratrum
Chinspot Batis,Batis molitor
Pale Batis,Batis soror
Pririt Batis,Batis pririt
Senegal Batis,Batis senegalensis
Grey-headed Batis,Batis orientalis
Western Black-headed Batis,Batis erlangeri
Eastern Black-headed Batis,Batis minor
Pygmy Batis,Batis perkeo
Gabon Batis,Batis minima
Ituri Batis,Batis ituriensis
Fernando Po Batis,Batis poensis
West African Batis,Batis occulta
Angola Batis,Batis minulla
Maroon-breasted Philentoma,Philentoma velata
Rufous-winged Philentoma,Philentoma pyrhoptera
White-crested Helmetshrike,Prionops plumatus
Grey-crested Helmetshrike,Prionops poliolophus
Yellow-crested Helmetshrike,Prionops alberti
Red-billed Helmetshrike,Prionops caniceps
Rufous-bellied Helmetshrike,Prionops rufiventris
Retz's Helmetshrike,Prionops retzii
Gabela Helmetshrike,Prionops gabela
Chestnut-fronted Helmetshrike,Prionops scopifrons
African Shrike-flycatcher,Megabyas flammulatus
Black-and-white Shrike-flycatcher,Bias musicus
Black-winged Flycatcher-shrike,Hemipus hirundinaceus
Bar-winged Flycatcher-shrike,Hemipus picatus
Malabar Woodshrike,Tephrodornis sylvicola
Large Woodshrike,Tephrodornis virgatus
Common Woodshrike,Tephrodornis pondicerianus
Sri Lanka Woodshrike,Tephrodornis affinis
Tylas Vanga,Tylas eduardi
Red-tailed Vanga,Calicalicus madagascariensis
Red-shouldered Vanga,Calicalicus rufocarpalis
Archbold's Newtonia,Newtonia archboldi
Common Newtonia,Newtonia brunneicauda
Dark Newtonia,Newtonia amphichroa
Red-tailed Newtonia,Newtonia fanovanae
Nuthatch Vanga,Hypositta corallirostris
Chabert Vanga,Leptopterus chabert
Crossley's Vanga,Mystacornis crossleyi
Madagascar Blue Vanga,Cyanolanius madagascarinus
Comoro Blue Vanga,Cyanolanius comorensis
Hook-billed Vanga,Vanga curvirostris
Ward's Vanga,Pseudobias wardi
Helmet Vanga,Euryceros prevostii
Rufous Vanga,Schetba rufa
Pollen's Vanga,Xenopirostris polleni
Lafresnaye's Vanga,Xenopirostris xenopirostris
Van Dam's Vanga,Xenopirostris damii
Bernier's Vanga,Oriolia bernieri
Sickle-billed Vanga,Falculea palliata
White-headed Vanga,Artamella viridis
Black Sittella,Daphoenositta miranda
Papuan Sittella,Daphoenositta papuensis
Varied Sittella,Daphoenositta chrysoptera
Papuan Whipbird,Androphobus viridis
Eastern Whipbird,Psophodes olivaceus
Western Whipbird,Psophodes nigrogularis
Chiming Wedgebill,Psophodes occidentalis
Chirruping Wedgebill,Psophodes cristatus
Wattled Ploughbill,Eulacestoma nigropectus
Crested Bellbird,Oreoica gutturalis
Piping Bellbird,Ornorectes cristatus
Rufous-naped Bellbird,Aleadryas rufinucha
Eastern Shriketit,Falcunculus frontatus
Western Shriketit,Falcunculus leucogaster
Northern Shriketit,Falcunculus whitei
Tit Berrypecker,Oreocharis arfaki
Eastern Crested Berrypecker,Paramythia montium
Western Crested Berrypecker,Paramythia olivacea
Black-headed Shrike-babbler,Pteruthius rufiventer
Pied Shrike-babbler,Pteruthius flaviscapis
White-browed Shrike-babbler,Pteruthius aeralatus
Green Shrike-babbler,Pteruthius xanthochlorus
Black-eared Shrike-babbler,Pteruthius melanotis
Trilling Shrike-babbler,Pteruthius aenobarbus
Clicking Shrike-babbler,Pteruthius intermedius
White-bellied Erpornis,Erpornis zantholeuca
Black-billed Peppershrike,Cyclarhis nigrirostris
Rufous-browed Peppershrike,Cyclarhis gujanensis
Grey-eyed Greenlet,Hylophilus amaurocephalus
Rufous-crowned Greenlet,Hylophilus poicilotis
Olivaceous Greenlet,Hylophilus olivaceus
Ashy-headed Greenlet,Hylophilus pectoralis
Scrub Greenlet,Hylophilus flavipes
Grey-chested Greenlet,Hylophilus semicinereus
Brown-headed Greenlet,Hylophilus brunneiceps
Lemon-chested Greenlet,Hylophilus thoracicus
Chestnut-sided Shrike-Vireo,Vireolanius melitophrys
Green Shrike-Vireo,Vireolanius pulchellus
Yellow-browed Shrike-Vireo,Vireolanius eximius
Slaty-capped Shrike-Vireo,Vireolanius leucotis
Ochre-crowned Greenlet,Tunchiornis ochraceiceps
Rufous-fronted Greenlet,Tunchiornis ferrugineifrons
Guianan Greenlet,Tunchiornis luteifrons
Para Greenlet,Tunchiornis rubrifrons
Lesser Greenlet,Pachysylvia decurtata
Dusky-capped Greenlet,Pachysylvia hypoxantha
Buff-cheeked Greenlet,Pachysylvia muscicapina
Golden-fronted Greenlet,Pachysylvia aurantiifrons
Rufous-naped Greenlet,Pachysylvia semibrunnea
Golden Vireo,Vireo hypochryseus
Tepui Vireo,Vireo sclateri
Philadelphia Vireo,Vireo philadelphicus
Warbling Vireo,Vireo gilvus
Brown-capped Vireo,Vireo leucophrys
Yellow-green Vireo,Vireo flavoviridis
Red-eyed Vireo,Vireo olivaceus
Yucatan Vireo,Vireo magister
Black-whiskered Vireo,Vireo altiloquus
Noronha Vireo,Vireo gracilirostris
Chivi Vireo,Vireo chivi
Grey Vireo,Vireo vicinior
Hutton's Vireo,Vireo huttoni
Yellow-throated Vireo,Vireo flavifrons
Yellow-winged Vireo,Vireo carmioli
Choco Vireo,Vireo masteri
Blue-headed Vireo,Vireo solitarius
Cassin's Vireo,Vireo cassinii
Plumbeous Vireo,Vireo plumbeus
Blue Mountain Vireo,Vireo osburni
Flat-billed Vireo,Vireo nanus
Mangrove Vireo,Vireo pallens
Cozumel Vireo,Vireo bairdi
Thick-billed Vireo,Vireo crassirostris
Cuban Vireo,Vireo gundlachii
White-eyed Vireo,Vireo griseus
San Andres Vireo,Vireo caribaeus
Jamaican Vireo,Vireo modestus
Bell's Vireo,Vireo bellii
Puerto Rican Vireo,Vireo latimeri
Slaty Vireo,Vireo brevipennis
Black-capped Vireo,Vireo atricapilla
Dwarf Vireo,Vireo nelsoni
Hooded Pitohui,Pitohui dichrous
Raja Ampat Pitohui,Pitohui cerviniventris
Northern Variable Pitohui,Pitohui kirhocephalus
Southern Variable Pitohui,Pitohui uropygialis
Wetar Figbird,Sphecotheres hypoleucus
Green Figbird,Sphecotheres viridis
Australasian Figbird,Sphecotheres vieilloti
Dusky-brown Oriole,Oriolus phaeochromus
Black-eared Oriole,Oriolus bouroensis
Grey-collared Oriole,Oriolus forsteni
Olive-backed Oriole,Oriolus sagittatus
Tanimbar Oriole,Oriolus decipiens
Green Oriole,Oriolus flavocinctus
Timor Oriole,Oriolus melanotis
Brown Oriole,Oriolus szalayi
Wetar Oriole,Oriolus finschi
Dark-throated Oriole,Oriolus xanthonotus
Ventriloquial Oriole,Oriolus consobrinus
Philippine Oriole,Oriolus steerii
White-lored Oriole,Oriolus albiloris
Isabela Oriole,Oriolus isabellae
Maroon Oriole,Oriolus traillii
Silver Oriole,Oriolus mellianus
Black Oriole,Oriolus hosii
Javan Oriole,Oriolus cruentus
Black-and-crimson Oriole,Oriolus consanguineus
Black-hooded Oriole,Oriolus xanthornus
Green-headed Oriole,Oriolus chlorocephalus
Sao Tome Oriole,Oriolus crassirostris
Western Oriole,Oriolus brachyrynchus
Ethiopian Oriole,Oriolus monacha
Black-headed Oriole,Oriolus larvatus
Black-winged Oriole,Oriolus nigripennis
Mountain Oriole,Oriolus percivali
African Golden Oriole,Oriolus auratus
Indian Golden Oriole,Oriolus kundoo
Eurasian Golden Oriole,Oriolus oriolus
Slender-billed Oriole,Oriolus tenuirostris
Black-naped Oriole,Oriolus chinensis
White-bellied Pitohui,Pseudorectes incertus
Rusty Pitohui,Pseudorectes ferrugineus
Sandstone Shrikethrush,Colluricincla woodwardi
Bower's Shrikethrush,Colluricincla boweri
Grey Shrikethrush,Colluricincla harmonica
Sooty Shrikethrush,Colluricincla tenebrosa
Little Shrikethrush,Colluricincla megarhyncha
Black Pitohui,Melanorectes nigrescens
Sangihe Whistler,Coracornis sanghirensis
Maroon-backed Whistler,Coracornis raveni
Olive Whistler,Pachycephala olivacea
Red-lored Whistler,Pachycephala rufogularis
Gilbert's Whistler,Pachycephala inornata
Bare-throated Whistler,Pachycephala nudigula
Fawn-breasted Whistler,Pachycephala orpheus
Regent Whistler,Pachycephala schlegelii
Melanesian Whistler,Pachycephala chlorura
Vogelkop Whistler,Pachycephala meyeri
Sclater's Whistler,Pachycephala soror
White-throated Fiji Whistler,Pachycephala vitiensis
Yellow-throated Fiji Whistler,Pachycephala graeffii
Samoan Whistler,Pachycephala flavifrons
Tongan Whistler,Pachycephala jacquinoti
New Caledonian Whistler,Pachycephala caledonica
Hooded Whistler,Pachycephala implicata
Bougainville Whistler,Pachycephala richardsi
Bismarck Whistler,Pachycephala citreogaster
Louisiade Whistler,Pachycephala collaris
Nendo Whistler,Pachycephala ornata
Utupua Whistler,Pachycephala utupuae
Vanikoro Whistler,Pachycephala vanikorensis
Oriole Whistler,Pachycephala orioloides
Rennell Whistler,Pachycephala feminina
Tenggara Whistler,Pachycephala calliope
Selayar Whistler,Pachycephala teysmanni
Yellow-throated Whistler,Pachycephala macrorhyncha
Babar Whistler,Pachycephala sharpei
Black-chinned Whistler,Pachycephala mentalis
Baliem Whistler,Pachycephala balim
Australian Golden Whistler,Pachycephala pectoralis
Mangrove Golden Whistler,Pachycephala melanura
Morningbird,Pachycephala tenebrosa
Brown-backed Whistler,Pachycephala modesta
Lorentz's Whistler,Pachycephala lorentzi
Golden-backed Whistler,Pachycephala aurea
Yellow-bellied Whistler,Pachycephala philippinensis
Bornean Whistler,Pachycephala hypoxantha
Sulphur-vented Whistler,Pachycephala sulfuriventer
Mangrove Whistler,Pachycephala cinerea
Green-backed Whistler,Pachycephala albiventris
White-vented Whistler,Pachycephala homeyeri
Island Whistler,Pachycephala phaionota
Biak Whistler,Pachycephala melanorhyncha
Rusty Whistler,Pachycephala hyperythra
Grey Whistler,Pachycephala simplex
Wallacean Whistler,Pachycephala arctitorquis
Drab Whistler,Pachycephala griseonota
White-bellied Whistler,Pachycephala leucogastra
Black-headed Whistler,Pachycephala monacha
Rufous Whistler,Pachycephala rufiventris
White-breasted Whistler,Pachycephala lanioides
Drongo Fantail,Chaetorhynchus papuensis
Cerulean Flycatcher,Eutrichomyias rowleyi
Taveuni Silktail,Lamprolia victoriae
Natewa Silktail,Lamprolia klinesmithi
Black Fantail,Rhipidura atra
Black-and-cinnamon Fantail,Rhipidura nigrocinnamomea
Mindanao Blue Fantail,Rhipidura superciliaris
Visayan Blue Fantail,Rhipidura samarensis
Tablas Fantail,Rhipidura sauli
Visayan Fantail,Rhipidura albiventris
Blue-headed Fantail,Rhipidura cyaniceps
Spotted Fantail,Rhipidura perlata
Cinnamon-tailed Fantail,Rhipidura fuscorufa
White-winged Fantail,Rhipidura cockerelli
White-gorgeted Fantail,Rhipidura coultasi
Northern Fantail,Rhipidura rufiventris
Brown-capped Fantail,Rhipidura diluta
Sooty Thicket Fantail,Rhipidura threnothorax
